CN,PLOT,SUBP,TREE,STATECD,INVYR,SPCD,DIA,HT,ACTUALHT,TREECOUNT,STAGE
1819712661290487,134,3,2.0,9,2024,261.0,14.2,45.0,45.0,1.0,5.0
1819713123290487,185,4,1.0,9,2024,261.0,8.5,36.0,36.0,1.0,4.0
1819712522290487,353,3,8.0,9,2024,261.0,,,,1.0,
1819712559290487,414,1,5.0,9,2024,261.0,9.8,40.0,9.0,1.0,4.0
1819712580290487,414,4,1.0,9,2024,261.0,8.3,36.0,20.0,1.0,4.0
1819712584290487,414,4,6.0,9,2024,261.0,17.4,57.0,36.0,1.0,5.0
1819712585290487,414,4,9.0,9,2024,261.0,7.9,30.0,22.0,1.0,3.0
1819712586290487,414,4,10.0,9,2024,261.0,,,,1.0,
1819712600290487,416,1,,9,2024,261.0,,,,1.0,1.0
1819712620290487,416,2,3.0,9,2024,261.0,17.4,67.0,67.0,1.0,5.0
1819712621290487,416,2,4.0,9,2024,261.0,16.1,54.0,54.0,1.0,5.0
1819712631290487,416,4,8.0,9,2024,261.0,11.8,55.0,55.0,1.0,4.0
1819712286290487,449,1,1.0,9,2024,261.0,8.2,52.0,52.0,1.0,4.0
1819712287290487,449,1,2.0,9,2024,261.0,13.7,82.0,82.0,1.0,5.0
1819712289290487,449,1,5.0,9,2024,261.0,10.1,74.0,74.0,1.0,4.0
1819712290290487,449,1,6.0,9,2024,261.0,9.9,55.0,55.0,1.0,4.0
1819712291290487,449,1,7.0,9,2024,261.0,12.1,80.0,80.0,1.0,4.0
1819712292290487,449,1,8.0,9,2024,261.0,11.9,80.0,80.0,1.0,4.0
1819712297290487,449,1,13.0,9,2024,261.0,7.3,44.0,36.0,1.0,3.0
1819712298290487,449,1,14.0,9,2024,261.0,10.0,71.0,71.0,1.0,4.0
1819712299290487,449,1,15.0,9,2024,261.0,9.9,78.0,78.0,1.0,4.0
1819712300290487,449,1,16.0,9,2024,261.0,9.2,76.0,76.0,1.0,4.0
1819712301290487,449,1,17.0,9,2024,261.0,16.4,89.0,89.0,1.0,5.0
1819712302290487,449,1,18.0,9,2024,261.0,6.6,66.0,64.0,1.0,3.0
1819712303290487,449,1,19.0,9,2024,261.0,8.7,80.0,80.0,1.0,4.0
1819712304290487,449,1,20.0,9,2024,261.0,7.1,68.0,68.0,1.0,3.0
1819712305290487,449,1,21.0,9,2024,261.0,6.3,28.0,9.0,1.0,3.0
1819712306290487,449,1,22.0,9,2024,261.0,12.8,76.0,76.0,1.0,5.0
1819712307290487,449,1,23.0,9,2024,261.0,4.4,41.0,28.0,1.0,2.0
1819712309290487,449,1,45.0,9,2024,261.0,5.4,25.0,25.0,1.0,3.0
1819712310290487,449,2,1.0,9,2024,261.0,8.8,70.0,61.0,1.0,4.0
1819712311290487,449,2,2.0,9,2024,261.0,7.2,53.0,48.0,1.0,3.0
1819712312290487,449,2,3.0,9,2024,261.0,10.5,80.0,80.0,1.0,4.0
1819712313290487,449,2,4.0,9,2024,261.0,7.6,40.0,30.0,1.0,3.0
1819712314290487,449,2,5.0,9,2024,261.0,16.8,78.0,78.0,1.0,5.0
1819712315290487,449,2,6.0,9,2024,261.0,10.0,52.0,47.0,1.0,4.0
1819712316290487,449,2,8.0,9,2024,261.0,13.7,76.0,76.0,1.0,5.0
1819712317290487,449,2,9.0,9,2024,261.0,9.0,40.0,30.0,1.0,4.0
1819712318290487,449,2,10.0,9,2024,261.0,7.6,50.0,44.0,1.0,3.0
1819712320290487,449,2,12.0,9,2024,261.0,6.8,45.0,45.0,1.0,3.0
1819712321290487,449,2,13.0,9,2024,261.0,7.2,51.0,51.0,1.0,3.0
1819712322290487,449,2,14.0,9,2024,261.0,14.1,84.0,84.0,1.0,5.0
1819712323290487,449,2,15.0,9,2024,261.0,,,,1.0,
1819712324290487,449,2,16.0,9,2024,261.0,10.6,76.0,76.0,1.0,4.0
1819712325290487,449,2,17.0,9,2024,261.0,9.1,75.0,75.0,1.0,4.0
1819712326290487,449,2,19.0,9,2024,261.0,2.7,15.0,15.0,1.0,2.0
1819712330290487,449,4,6.0,9,2024,261.0,15.0,49.0,49.0,1.0,5.0
1819712331290487,449,4,7.0,9,2024,261.0,5.9,24.0,24.0,1.0,3.0
1819711882290487,474,4,,9,2024,261.0,,,,5.0,1.0
1819711915290487,474,4,27.0,9,2024,261.0,1.3,13.0,13.0,1.0,1.0
1819711916290487,474,4,28.0,9,2024,261.0,1.0,8.0,8.0,1.0,1.0
1819711918290487,474,4,30.0,9,2024,261.0,1.0,8.0,8.0,1.0,1.0
1819711919290487,474,4,31.0,9,2024,261.0,3.1,19.0,19.0,1.0,2.0
1819711921290487,474,4,33.0,9,2024,261.0,2.0,14.0,14.0,1.0,1.0
1819711923290487,474,4,35.0,9,2024,261.0,1.7,13.0,12.0,1.0,1.0
1819712786290487,587,4,17.0,9,2024,261.0,9.7,45.0,45.0,1.0,4.0
1819711743290487,604,3,13.0,9,2024,261.0,9.5,27.0,27.0,1.0,4.0
1819711745290487,604,3,15.0,9,2024,261.0,6.9,28.0,28.0,1.0,3.0
