CN,PLOT,SUBP,TREE,STATECD,INVYR,SPCD,DIA,HT,ACTUALHT,STAGE
1809181116290487,104,1,1,25,2024,261.0,3.3,30.0,30.0,2.0
1809181119290487,104,1,6,25,2024,261.0,6.8,41.0,41.0,3.0
1809181121290487,104,1,8,25,2024,261.0,9.1,38.0,38.0,4.0
1809181124290487,104,1,11,25,2024,261.0,8.5,36.0,36.0,4.0
1809181126290487,104,1,13,25,2024,261.0,6.1,34.0,34.0,3.0
1809181129290487,104,1,16,25,2024,261.0,10.0,52.0,52.0,4.0
1809181130290487,104,1,17,25,2024,261.0,8.2,38.0,38.0,4.0
1809181135290487,104,1,22,25,2024,261.0,7.3,38.0,38.0,3.0
1809181137290487,104,1,24,25,2024,261.0,6.0,32.0,32.0,3.0
1809181138290487,104,1,25,25,2024,261.0,5.6,23.0,23.0,3.0
1809181150290487,104,2,12,25,2024,261.0,8.0,40.0,40.0,4.0
1809181153290487,104,3,1,25,2024,261.0,,,,
1809181155290487,104,3,6,25,2024,261.0,,,,
1809181162290487,104,3,14,25,2024,261.0,7.0,28.0,28.0,3.0
1809181164290487,104,4,1,25,2024,261.0,12.1,33.0,33.0,4.0
1809181171290487,104,4,9,25,2024,261.0,10.9,53.0,53.0,4.0
1809181175290487,104,4,13,25,2024,261.0,8.2,43.0,43.0,4.0
1809181177290487,104,4,15,25,2024,261.0,5.9,33.0,33.0,3.0
1809180321290487,321,1,1,25,2024,261.0,17.6,58.0,58.0,5.0
1809180325290487,321,2,1,25,2024,261.0,7.0,24.0,17.0,3.0
1809180324290487,321,1,4,25,2024,261.0,5.9,32.0,32.0,3.0
1809180326290487,321,2,2,25,2024,261.0,6.9,28.0,16.0,3.0
1809180327290487,321,2,4,25,2024,261.0,9.4,26.0,26.0,4.0
1809180328290487,321,2,5,25,2024,261.0,9.2,25.0,25.0,4.0
1809180329290487,321,2,6,25,2024,261.0,10.2,40.0,40.0,4.0
1809180332290487,321,2,9,25,2024,261.0,9.5,30.0,30.0,4.0
1809180335290487,321,2,12,25,2024,261.0,9.0,41.0,41.0,4.0
1809180338290487,321,3,1,25,2024,261.0,20.5,81.0,81.0,6.0
1809180340290487,321,3,3,25,2024,261.0,14.0,41.0,41.0,5.0
1809180342290487,321,3,7,25,2024,261.0,15.8,70.0,70.0,5.0
1809180343290487,321,3,8,25,2024,261.0,10.6,48.0,48.0,4.0
1809180344290487,321,3,9,25,2024,261.0,5.7,33.0,33.0,3.0
1809180345290487,321,3,10,25,2024,261.0,13.8,57.0,57.0,5.0
1809180349290487,321,3,14,25,2024,261.0,7.8,50.0,11.0,3.0
1809180347290487,321,3,12,25,2024,261.0,6.5,32.0,32.0,3.0
1809180348290487,321,3,13,25,2024,261.0,19.3,71.0,71.0,6.0
1809180350290487,321,3,15,25,2024,261.0,16.2,68.0,68.0,5.0
1809180352290487,321,4,1,25,2024,261.0,20.6,54.0,54.0,6.0
1809180355290487,321,4,4,25,2024,261.0,8.6,34.0,34.0,4.0
1809180356290487,321,4,5,25,2024,261.0,9.1,40.0,23.0,4.0
1809180357290487,321,4,6,25,2024,261.0,8.0,40.0,11.0,4.0
1809180358290487,321,4,7,25,2024,261.0,10.2,45.0,45.0,4.0
1809180359290487,321,4,8,25,2024,261.0,9.9,40.0,35.0,4.0
1809180361290487,321,4,10,25,2024,261.0,12.0,35.0,35.0,4.0
1809180366290487,321,4,15,25,2024,261.0,6.8,32.0,32.0,3.0
1809180072290487,338,1,2,25,2024,261.0,14.2,74.0,74.0,5.0
1809180074290487,338,1,4,25,2024,261.0,10.8,45.0,45.0,4.0
1809180075290487,338,1,5,25,2024,261.0,,,,
1809180077290487,338,1,7,25,2024,261.0,10.6,48.0,48.0,4.0
1809180080290487,338,1,11,25,2024,261.0,10.4,40.0,40.0,4.0
1809180089290487,338,3,1,25,2024,261.0,3.2,16.0,16.0,2.0
1809180091290487,338,3,3,25,2024,261.0,6.4,25.0,25.0,3.0
1809180093290487,338,3,5,25,2024,261.0,9.5,44.0,44.0,4.0
1809180095290487,338,3,7,25,2024,261.0,12.6,48.0,48.0,5.0
1809179730290487,1082,1,5,25,2024,261.0,11.7,44.0,44.0,4.0
1809179738290487,1082,1,16,25,2024,261.0,9.4,58.0,58.0,4.0
1809179745290487,1082,2,3,25,2024,261.0,5.4,20.0,20.0,3.0
1809179746290487,1082,2,4,25,2024,261.0,22.6,80.0,80.0,6.0
1809179747290487,1082,2,5,25,2024,261.0,35.2,81.0,13.0,6.0
1809179748290487,1082,2,6,25,2024,261.0,19.2,52.0,52.0,5.0
1809179749290487,1082,2,7,25,2024,261.0,15.8,76.0,76.0,5.0
1809179750290487,1082,2,8,25,2024,261.0,26.4,77.0,77.0,6.0
1809180284290487,1109,1,13,25,2024,261.0,11.4,60.0,60.0,4.0
1809180285290487,1109,1,18,25,2024,261.0,11.4,54.0,54.0,4.0
1809180291290487,1109,1,32,25,2024,261.0,5.2,26.0,26.0,3.0
1809180294290487,1109,2,2,25,2024,261.0,17.7,83.0,83.0,5.0
1809180295290487,1109,2,3,25,2024,261.0,15.9,72.0,72.0,5.0
1809180296290487,1109,2,4,25,2024,261.0,24.4,90.0,90.0,6.0
1809180298290487,1109,2,6,25,2024,261.0,10.2,58.0,58.0,4.0
1809180299290487,1109,2,7,25,2024,261.0,6.6,35.0,35.0,3.0
1809181922290487,697,1,5,25,2024,261.0,9.6,36.0,36.0,4.0
1809181932290487,697,2,8,25,2024,261.0,16.0,54.0,54.0,5.0
1809181945290487,697,3,9,25,2024,261.0,6.4,28.0,28.0,3.0
1809181947290487,697,3,13,25,2024,261.0,,,,
1809179935290487,281,1,4,25,2024,261.0,11.9,41.0,41.0,4.0
1809179936290487,281,1,5,25,2024,261.0,7.1,35.0,35.0,3.0
1809179937290487,281,1,6,25,2024,261.0,14.1,63.0,63.0,5.0
1809179938290487,281,1,7,25,2024,261.0,12.3,48.0,48.0,4.0
1809179944290487,281,1,13,25,2024,261.0,11.3,51.0,51.0,4.0
1809179961290487,281,3,9,25,2024,261.0,7.3,31.0,31.0,3.0
1809179964290487,281,3,12,25,2024,261.0,9.2,36.0,33.0,4.0
1809179969290487,281,3,17,25,2024,261.0,7.6,34.0,34.0,3.0
1809179972290487,281,3,21,25,2024,261.0,9.4,44.0,44.0,4.0
1809179973290487,281,4,1,25,2024,261.0,10.2,40.0,40.0,4.0
1809179976290487,281,4,4,25,2024,261.0,9.5,53.0,53.0,4.0
1809179977290487,281,4,5,25,2024,261.0,6.7,24.0,24.0,3.0
1809180006290487,332,1,6,25,2024,261.0,7.9,40.0,24.0,3.0
1809180009290487,332,1,42,25,2024,261.0,14.4,72.0,47.0,5.0
1809180011290487,332,1,49,25,2024,261.0,9.6,52.0,52.0,4.0
1809180012290487,332,1,50,25,2024,261.0,6.8,43.0,43.0,3.0
1809180013290487,332,1,51,25,2024,261.0,5.2,32.0,22.0,3.0
1809180018290487,332,1,56,25,2024,261.0,5.3,40.0,28.0,3.0
1809180015290487,332,1,53,25,2024,261.0,5.7,29.0,29.0,3.0
1809180016290487,332,1,54,25,2024,261.0,3.4,28.0,28.0,2.0
1809180017290487,332,1,55,25,2024,261.0,5.5,40.0,40.0,3.0
1809180019290487,332,1,57,25,2024,261.0,6.1,32.0,32.0,3.0
1809180020290487,332,1,58,25,2024,261.0,13.6,65.0,65.0,5.0
1809180022290487,332,2,2,25,2024,261.0,12.8,52.0,52.0,5.0
1809180024290487,332,2,4,25,2024,261.0,8.1,40.0,40.0,4.0
1809180025290487,332,2,7,25,2024,261.0,6.4,23.0,20.0,3.0
1809180027290487,332,2,9,25,2024,261.0,10.0,36.0,36.0,4.0
1809180028290487,332,2,11,25,2024,261.0,16.2,67.0,67.0,5.0
1809180029290487,332,2,12,25,2024,261.0,7.5,35.0,35.0,3.0
1809180030290487,332,2,13,25,2024,261.0,12.1,67.0,67.0,4.0
1809180031290487,332,2,14,25,2024,261.0,14.3,67.0,67.0,5.0
1809180032290487,332,2,15,25,2024,261.0,5.7,32.0,32.0,3.0
1809180033290487,332,2,16,25,2024,261.0,13.7,68.0,68.0,5.0
1809180037290487,332,3,3,25,2024,261.0,9.9,45.0,45.0,4.0
1809180038290487,332,3,4,25,2024,261.0,12.2,53.0,45.0,4.0
1809180039290487,332,3,6,25,2024,261.0,7.1,30.0,30.0,3.0
1809180040290487,332,3,7,25,2024,261.0,19.6,84.0,84.0,6.0
1809180043290487,332,3,11,25,2024,261.0,5.9,27.0,27.0,3.0
1809180044290487,332,3,12,25,2024,261.0,5.1,26.0,26.0,3.0
1809180045290487,332,4,1,25,2024,261.0,10.0,51.0,51.0,4.0
1809180049290487,332,4,6,25,2024,261.0,6.7,34.0,23.0,3.0
1809180052290487,332,4,9,25,2024,261.0,7.5,35.0,35.0,3.0
1809180054290487,332,4,13,25,2024,261.0,,,,
1809180055290487,332,4,14,25,2024,261.0,4.5,28.0,28.0,2.0
1809180056290487,332,4,15,25,2024,261.0,5.6,32.0,28.0,3.0
1809179586290487,661,3,9,25,2024,261.0,7.1,40.0,40.0,3.0
1809180668290487,692,1,46,25,2024,261.0,6.0,20.0,12.0,3.0
1809180671290487,692,1,49,25,2024,261.0,17.7,76.0,76.0,5.0
1809180676290487,692,1,54,25,2024,261.0,15.4,70.0,70.0,5.0
1809180681290487,692,3,13,25,2024,261.0,12.7,44.0,44.0,5.0
1809180683290487,692,3,15,25,2024,261.0,14.2,59.0,59.0,5.0
1809180685290487,692,3,17,25,2024,261.0,14.3,71.0,71.0,5.0
1809180687290487,692,4,17,25,2024,261.0,5.0,32.0,32.0,3.0
1809179829290487,808,1,1,25,2024,261.0,11.1,58.0,58.0,4.0
1809179831290487,808,1,3,25,2024,261.0,8.5,48.0,48.0,4.0
1809179832290487,808,1,4,25,2024,261.0,9.7,59.0,36.0,4.0
1809179833290487,808,1,5,25,2024,261.0,6.7,41.0,41.0,3.0
1809179860290487,808,4,4,25,2024,261.0,14.6,54.0,54.0,5.0
1809179863290487,808,4,7,25,2024,261.0,9.0,45.0,42.0,4.0
1809179864290487,808,4,8,25,2024,261.0,7.7,43.0,43.0,3.0
1809179866290487,808,4,10,25,2024,261.0,11.3,50.0,50.0,4.0
1809179870290487,808,4,14,25,2024,261.0,6.7,45.0,40.0,3.0
1809179867290487,808,4,11,25,2024,261.0,6.9,42.0,42.0,3.0
1809179871290487,808,4,15,25,2024,261.0,10.2,45.0,45.0,4.0
1809179872290487,808,4,16,25,2024,261.0,,,,
1809179877290487,808,4,21,25,2024,261.0,,,,
1809179875290487,808,4,19,25,2024,261.0,5.9,40.0,20.0,3.0
1809179682290487,1093,1,6,25,2024,261.0,9.1,48.0,48.0,4.0
1809179684290487,1093,1,8,25,2024,261.0,7.2,36.0,36.0,3.0
1809179685290487,1093,1,9,25,2024,261.0,25.7,97.0,97.0,6.0
1809179686290487,1093,1,10,25,2024,261.0,5.9,30.0,30.0,3.0
1809179687290487,1093,1,11,25,2024,261.0,7.3,36.0,36.0,3.0
1809179692290487,1093,2,2,25,2024,261.0,17.4,91.0,91.0,5.0
1809179693290487,1093,2,3,25,2024,261.0,6.4,40.0,40.0,3.0
1809179694290487,1093,2,4,25,2024,261.0,11.8,54.0,54.0,4.0
1809179695290487,1093,2,5,25,2024,261.0,16.5,85.0,68.0,5.0
1809179703290487,1093,3,5,25,2024,261.0,7.4,40.0,40.0,3.0
1809179713290487,1093,3,7,25,2024,261.0,12.2,55.0,55.0,4.0
1809182138290487,1162,2,1,25,2024,261.0,,,,
1809182139290487,1162,2,2,25,2024,261.0,,,,
1809182140290487,1162,2,3,25,2024,261.0,,,,
1809182141290487,1162,2,4,25,2024,261.0,,,,
1809182142290487,1162,2,5,25,2024,261.0,,,,
1809182145290487,1162,2,8,25,2024,261.0,,,,
1809182148290487,1162,2,11,25,2024,261.0,,,,
1809182149290487,1162,2,13,25,2024,261.0,,,,
1809182151290487,1162,2,15,25,2024,261.0,,,,
1809182152290487,1162,2,16,25,2024,261.0,,,,
1809182154290487,1162,3,1,25,2024,261.0,,,,
1809182159290487,1162,4,2,25,2024,261.0,10.8,45.0,45.0,4.0
1809182160290487,1162,4,3,25,2024,261.0,,,,
1809182165290487,1162,4,10,25,2024,261.0,,,,
1809179448290487,55,4,9,25,2024,261.0,,,,
1809180982290487,259,1,1,25,2024,261.0,3.1,26.0,26.0,2.0
1809180983290487,259,1,3,25,2024,261.0,3.4,24.0,24.0,2.0
1809180984290487,259,1,4,25,2024,261.0,4.1,27.0,27.0,2.0
1809180987290487,259,1,7,25,2024,261.0,6.5,32.0,32.0,3.0
1809180988290487,259,1,8,25,2024,261.0,7.5,43.0,43.0,3.0
1809180990290487,259,1,10,25,2024,261.0,6.2,36.0,36.0,3.0
1809180992290487,259,1,12,25,2024,261.0,7.5,36.0,36.0,3.0
1809180995290487,259,1,15,25,2024,261.0,6.1,26.0,26.0,3.0
1809180996290487,259,1,16,25,2024,261.0,20.8,67.0,53.0,6.0
1809180997290487,259,1,17,25,2024,261.0,9.6,22.0,22.0,4.0
1809180999290487,259,1,19,25,2024,261.0,15.6,66.0,66.0,5.0
1809181001290487,259,1,21,25,2024,261.0,5.6,24.0,24.0,3.0
1809181002290487,259,1,22,25,2024,261.0,6.3,45.0,45.0,3.0
1809181003290487,259,1,23,25,2024,261.0,11.4,47.0,47.0,4.0
1809181005290487,259,1,25,25,2024,261.0,2.3,16.0,7.0,2.0
1809181009290487,259,2,5,25,2024,261.0,9.8,48.0,48.0,4.0
1809181010290487,259,2,6,25,2024,261.0,6.5,24.0,24.0,3.0
1809181012290487,259,2,8,25,2024,261.0,12.0,55.0,55.0,4.0
1809181013290487,259,2,9,25,2024,261.0,10.1,45.0,45.0,4.0
1809181015290487,259,2,11,25,2024,261.0,7.7,28.0,21.0,3.0
1809181017290487,259,2,13,25,2024,261.0,8.5,35.0,35.0,4.0
1809181023290487,259,2,20,25,2024,261.0,11.8,43.0,43.0,4.0
1809181027290487,259,3,2,25,2024,261.0,9.4,27.0,23.0,4.0
1809181028290487,259,3,4,25,2024,261.0,2.2,9.0,9.0,1.0
1809181030290487,259,4,2,25,2024,261.0,8.1,40.0,40.0,4.0
1809181032290487,259,4,5,25,2024,261.0,8.3,20.0,20.0,4.0
1809181036290487,259,4,10,25,2024,261.0,13.4,48.0,48.0,5.0
1809181034290487,259,4,8,25,2024,261.0,16.5,56.0,56.0,5.0
1809181035290487,259,4,9,25,2024,261.0,17.2,52.0,52.0,5.0
1809181038290487,259,4,12,25,2024,261.0,8.8,43.0,43.0,4.0
1809181039290487,259,4,13,25,2024,261.0,19.2,56.0,56.0,5.0
1809181040290487,259,4,14,25,2024,261.0,1.2,11.0,11.0,1.0
1809181041290487,259,4,15,25,2024,261.0,6.3,34.0,34.0,3.0
1809180877290487,462,1,2,25,2024,261.0,18.1,75.0,75.0,5.0
1809180886290487,462,2,1,25,2024,261.0,5.8,36.0,36.0,3.0
1809180888290487,462,2,3,25,2024,261.0,12.8,62.0,62.0,5.0
1809180891290487,462,2,7,25,2024,261.0,6.7,36.0,36.0,3.0
1809180892290487,462,2,8,25,2024,261.0,7.5,56.0,56.0,3.0
1809180893290487,462,2,10,25,2024,261.0,6.4,47.0,47.0,3.0
1809180894290487,462,2,11,25,2024,261.0,7.9,50.0,50.0,3.0
1809180896290487,462,3,1,25,2024,261.0,,,,
1809180897290487,462,3,2,25,2024,261.0,24.2,95.0,95.0,6.0
1809180898290487,462,3,3,25,2024,261.0,9.0,59.0,59.0,4.0
1809180899290487,462,3,4,25,2024,261.0,8.2,36.0,26.0,4.0
1809180900290487,462,3,5,25,2024,261.0,6.6,36.0,36.0,3.0
1809180901290487,462,3,6,25,2024,261.0,6.2,34.0,34.0,3.0
1809180902290487,462,3,7,25,2024,261.0,12.1,58.0,58.0,4.0
1809180903290487,462,3,8,25,2024,261.0,6.1,36.0,36.0,3.0
1809180904290487,462,3,9,25,2024,261.0,12.8,75.0,75.0,5.0
1809180905290487,462,3,10,25,2024,261.0,14.0,76.0,76.0,5.0
1809180906290487,462,3,11,25,2024,261.0,7.7,40.0,40.0,3.0
1809180908290487,462,3,13,25,2024,261.0,11.0,50.0,50.0,4.0
1809180909290487,462,3,14,25,2024,261.0,5.1,34.0,34.0,3.0
1809180912290487,462,4,3,25,2024,261.0,6.9,38.0,38.0,3.0
1809180915290487,462,4,6,25,2024,261.0,9.7,46.0,46.0,4.0
1809180919290487,462,4,10,25,2024,261.0,5.4,22.0,22.0,3.0
1809182230290487,698,1,4,25,2024,261.0,9.8,44.0,41.0,4.0
1809182231290487,698,1,5,25,2024,261.0,7.9,40.0,20.0,3.0
1809182234290487,698,1,9,25,2024,261.0,12.5,51.0,51.0,5.0
1809182240290487,698,2,7,25,2024,261.0,9.9,36.0,36.0,4.0
1809182242290487,698,3,3,25,2024,261.0,16.7,78.0,78.0,5.0
1809182243290487,698,3,4,25,2024,261.0,15.5,77.0,77.0,5.0
1809182244290487,698,3,5,25,2024,261.0,8.5,58.0,58.0,4.0
1809182245290487,698,3,6,25,2024,261.0,16.8,82.0,82.0,5.0
1809182248290487,698,4,4,25,2024,261.0,9.7,30.0,30.0,4.0
1809180945290487,947,2,6,25,2024,261.0,10.2,32.0,21.0,4.0
1809180951290487,947,3,4,25,2024,261.0,8.0,27.0,27.0,4.0
1809180955290487,947,3,8,25,2024,261.0,8.0,25.0,25.0,4.0
1809180969290487,947,4,11,25,2024,261.0,7.0,24.0,24.0,3.0
1809179524290487,1001,3,10,25,2024,261.0,5.9,27.0,27.0,3.0
1809181071290487,1244,2,2,25,2024,261.0,16.6,70.0,70.0,5.0
1809181072290487,1244,2,3,25,2024,261.0,,,,
1809181076290487,1244,2,8,25,2024,261.0,,,,
1809181077290487,1244,2,9,25,2024,261.0,,,,
1809181080290487,1244,2,12,25,2024,261.0,10.3,40.0,40.0,4.0
1809181082290487,1244,2,14,25,2024,261.0,8.9,45.0,45.0,4.0
1809181089290487,1244,4,1,25,2024,261.0,6.6,40.0,40.0,3.0
1809181093290487,1244,4,5,25,2024,261.0,11.0,40.0,40.0,4.0
1809181095290487,1244,4,7,25,2024,261.0,13.0,40.0,40.0,5.0
1809181100290487,1244,4,13,25,2024,261.0,8.7,42.0,42.0,4.0
1809181102290487,1244,4,15,25,2024,261.0,8.7,32.0,32.0,4.0
1809181103290487,1244,4,16,25,2024,261.0,11.8,43.0,43.0,4.0
1809181104290487,1244,4,17,25,2024,261.0,9.9,33.0,33.0,4.0
1809178590290487,1034,1,1,25,2024,261.0,,,,
1809178591290487,1034,1,2,25,2024,261.0,1.5,8.0,8.0,1.0
1809178593290487,1034,1,4,25,2024,261.0,12.9,55.0,43.0,5.0
1809178597290487,1034,1,9,25,2024,261.0,8.2,30.0,30.0,4.0
1809178601290487,1034,1,13,25,2024,261.0,13.5,55.0,31.0,5.0
1809178603290487,1034,1,15,25,2024,261.0,,,,
1809178604290487,1034,2,2,25,2024,261.0,,,,
1809178605290487,1034,2,3,25,2024,261.0,,,,
1809178608290487,1034,2,8,25,2024,261.0,,,,
1809178609290487,1034,2,9,25,2024,261.0,14.8,63.0,63.0,5.0
1809178614290487,1034,2,14,25,2024,261.0,,,,
1809178617290487,1034,3,2,25,2024,261.0,8.4,51.0,51.0,4.0
1809178618290487,1034,3,3,25,2024,261.0,15.5,70.0,70.0,5.0
1809178620290487,1034,3,6,25,2024,261.0,7.0,30.0,30.0,3.0
1809178621290487,1034,3,7,25,2024,261.0,9.7,55.0,55.0,4.0
1809178622290487,1034,3,8,25,2024,261.0,8.7,40.0,40.0,4.0
1809178623290487,1034,3,9,25,2024,261.0,7.7,50.0,46.0,3.0
1809178625290487,1034,3,11,25,2024,261.0,5.7,39.0,39.0,3.0
1809178626290487,1034,4,1,25,2024,261.0,,,,
1809178628290487,1034,4,4,25,2024,261.0,13.7,48.0,48.0,5.0
1809178630290487,1034,4,6,25,2024,261.0,,,,
1809178632290487,1034,4,8,25,2024,261.0,,,,
1809179152290487,606,2,12,25,2024,261.0,7.2,32.0,32.0,3.0
1809179154290487,606,2,14,25,2024,261.0,14.1,60.0,60.0,5.0
1809181230290487,1014,1,1,25,2024,261.0,11.3,28.0,28.0,4.0
1809181239290487,1014,2,1,25,2024,261.0,8.2,45.0,45.0,4.0
1809181241290487,1014,2,3,25,2024,261.0,6.5,20.0,12.0,3.0
1809181245290487,1014,2,7,25,2024,261.0,6.8,24.0,22.0,3.0
1809181246290487,1014,2,8,25,2024,261.0,9.8,26.0,22.0,4.0
1809181249290487,1014,2,11,25,2024,261.0,8.7,36.0,36.0,4.0
1809181250290487,1014,2,12,25,2024,261.0,8.5,44.0,44.0,4.0
1809181251290487,1014,2,13,25,2024,261.0,7.7,34.0,34.0,3.0
1809181253290487,1014,2,16,25,2024,261.0,8.7,36.0,36.0,4.0
1809181254290487,1014,2,17,25,2024,261.0,5.8,23.0,23.0,3.0
