CN              , PLOT, SUBP, STATECD, INVYR, SPCD , TREECOUNT, STAGE
1837978514290487,   77,    3,      23,  2024, 261.0,       1.0,     1
1837978520290487,   77,    4,      23,  2024, 261.0,       1.0,     1
1837978557290487,  760,    1,      23,  2024, 261.0,       2.0,     1
1837992055290487,  515,    2,      23,  2024, 261.0,       1.0,     1
1837992058290487,  515,    3,      23,  2024, 261.0,       1.0,     1
1837992596290487,   65,    1,      23,  2024, 261.0,      21.0,     1
1837992603290487,   65,    2,      23,  2024, 261.0,      19.0,     1
1837992609290487,   65,    3,      23,  2024, 261.0,      21.0,     1
1837992614290487,   65,    4,      23,  2024, 261.0,       5.0,     1
1837994373290487,  267,    2,      23,  2024, 261.0,       2.0,     1
1837997904290487, 1644,    2,      23,  2024, 261.0,       1.0,     1
1837997907290487, 1644,    3,      23,  2024, 261.0,      11.0,     1
1838005394290487, 1178,    1,      23,  2024, 261.0,       3.0,     1
1838005401290487, 1178,    2,      23,  2024, 261.0,      10.0,     1
1837997899290487, 1644,    1,      23,  2024, 261.0,       2.0,     1
1838011297290487, 1214,    3,      23,  2024, 261.0,       2.0,     1
1838011450290487,  216,    1,      23,  2024, 261.0,       2.0,     1
1838011456290487,  216,    2,      23,  2024, 261.0,      22.0,     1
1838011459290487,  216,    3,      23,  2024, 261.0,      10.0,     1
1837964064290487, 1304,    1,      23,  2024, 261.0,       4.0,     1
1837966892290487,  565,    2,      23,  2024, 261.0,       4.0,     1
1837966894290487,  565,    3,      23,  2024, 261.0,       2.0,     1
1837967219290487,  326,    2,      23,  2024, 261.0,       6.0,     1
1837977639290487,  169,    2,      23,  2024, 261.0,       1.0,     1
1837977647290487,  169,    4,      23,  2024, 261.0,       1.0,     1
1837970528290487,  590,    2,      23,  2024, 261.0,       1.0,     1
1837963635290487, 1049,    3,      23,  2024, 261.0,       1.0,     1
1837965615290487, 1832,    1,      23,  2024, 261.0,       1.0,     1
1838010862290487, 1996,    1,      23,  2024, 261.0,       2.0,     1
1838010876290487, 1996,    3,      23,  2024, 261.0,       6.0,     1
1838010880290487, 1996,    4,      23,  2024, 261.0,       2.0,     1
1838012155290487, 1175,    2,      23,  2024, 261.0,       1.0,     1
1837971157290487, 1183,    2,      23,  2024, 261.0,       2.0,     1
1837972414290487,  814,    3,      23,  2024, 261.0,       1.0,     1
1838004182290487, 1381,    1,      23,  2024, 261.0,       1.0,     1
1837986020290487,  302,    1,      23,  2024, 261.0,       1.0,     1
1837998195290487,  478,    2,      23,  2024, 261.0,       1.0,     1
1837998197290487,  478,    3,      23,  2024, 261.0,       1.0,     1
1837998200290487,  478,    4,      23,  2024, 261.0,       1.0,     1
1837999292290487, 1163,    2,      23,  2024, 261.0,       1.0,     1
1837999294290487, 1163,    3,      23,  2024, 261.0,       1.0,     1
1837999298290487, 1163,    4,      23,  2024, 261.0,       5.0,     1
1837968404290487,  235,    2,      23,  2024, 261.0,       3.0,     1
1837968408290487,  235,    3,      23,  2024, 261.0,       8.0,     1
1837971455290487,   21,    2,      23,  2024, 261.0,       1.0,     1
1837971450290487,   21,    1,      23,  2024, 261.0,       2.0,     1
1837971590290487, 1920,    2,      23,  2024, 261.0,       2.0,     1
1837971593290487, 1920,    3,      23,  2024, 261.0,       1.0,     1
1837971595290487, 1920,    4,      23,  2024, 261.0,       1.0,     1
1837964290290487,  220,    1,      23,  2024, 261.0,       4.0,     1
1837964293290487,  220,    4,      23,  2024, 261.0,       3.0,     1
1837974906290487, 1248,    4,      23,  2024, 261.0,       4.0,     1
1837974297290487, 1484,    2,      23,  2024, 261.0,       5.0,     1
1837975115290487,  987,    3,      23,  2024, 261.0,       1.0,     1
1837975124290487,  987,    4,      23,  2024, 261.0,       6.0,     1
1837997114290487, 1238,    2,      23,  2024, 261.0,       2.0,     1
1837997118290487, 1238,    3,      23,  2024, 261.0,      23.0,     1
1837997353290487, 1935,    2,      23,  2024, 261.0,       1.0,     1
1837997360290487, 1935,    3,      23,  2024, 261.0,       6.0,     1
1837997830290487,  427,    2,      23,  2024, 261.0,       1.0,     1
1837968890290487, 1496,    1,      23,  2024, 261.0,       2.0,     1
1837968898290487, 1496,    4,      23,  2024, 261.0,      16.0,     1
1838002215290487, 1492,    3,      23,  2024, 261.0,       1.0,     1
1837975253290487, 1328,    2,      23,  2024, 261.0,       1.0,     1
1837979707290487,  633,    3,      23,  2024, 261.0,       2.0,     1
1837979709290487,  633,    4,      23,  2024, 261.0,       1.0,     1
1837973478290487,  381,    2,      23,  2024, 261.0,       6.0,     1
1837973492290487,  381,    4,      23,  2024, 261.0,       1.0,     1
1837975612290487,  799,    3,      23,  2024, 261.0,       3.0,     1
1837977248290487, 1450,    1,      23,  2024, 261.0,       3.0,     1
1837977257290487, 1450,    2,      23,  2024, 261.0,       4.0,     1
1837977260290487, 1450,    3,      23,  2024, 261.0,      13.0,     1
1837977327290487, 1751,    1,      23,  2024, 261.0,       1.0,     1
1837977340290487, 1751,    3,      23,  2024, 261.0,       1.0,     1
1837977348290487, 1751,    4,      23,  2024, 261.0,       1.0,     1
1837973683290487, 1601,    3,      23,  2024, 261.0,       1.0,     1
1837973692290487, 1601,    4,      23,  2024, 261.0,       3.0,     1
1837974090290487,  143,    1,      23,  2024, 261.0,      17.0,     1
1837974093290487,  143,    2,      23,  2024, 261.0,       3.0,     1
1837974097290487,  143,    4,      23,  2024, 261.0,       6.0,     1
1837974889290487, 1248,    1,      23,  2024, 261.0,       1.0,     1
1837965009290487, 5269,    3,      23,  2024, 261.0,       2.0,     1
1837965015290487, 5269,    4,      23,  2024, 261.0,      12.0,     1
1837968617290487,  545,    4,      23,  2024, 261.0,       1.0,     1
1837971203290487,  963,    2,      23,  2024, 261.0,      11.0,     1
1837971209290487,  963,    4,      23,  2024, 261.0,       1.0,     1
1837976793290487, 1771,    2,      23,  2024, 261.0,       1.0,     1
1837976062290487,  703,    1,      23,  2024, 261.0,      13.0,     1
1837963468290487,  371,    2,      23,  2024, 261.0,      12.0,     1
1837963465290487,  371,    1,      23,  2024, 261.0,       1.0,     1
1838006328290487, 1103,    1,      23,  2024, 261.0,       3.0,     1
1838006334290487, 1103,    3,      23,  2024, 261.0,       2.0,     1
1838009249290487,  835,    1,      23,  2024, 261.0,       3.0,     1
1838009257290487,  835,    2,      23,  2024, 261.0,       1.0,     1
1838009265290487,  835,    3,      23,  2024, 261.0,      19.0,     1
1837976211290487,  914,    2,      23,  2024, 261.0,       1.0,     1
1837976217290487,  914,    3,      23,  2024, 261.0,       2.0,     1
1837976223290487,  914,    4,      23,  2024, 261.0,       2.0,     1
1838008823290487,  992,    2,      23,  2024, 261.0,       5.0,     1
1838008826290487,  992,    3,      23,  2024, 261.0,       1.0,     1
1838008902290487,  805,    1,      23,  2024, 261.0,       4.0,     1
1838008904290487,  805,    2,      23,  2024, 261.0,       2.0,     1
1838011385290487, 1809,    2,      23,  2024, 261.0,       4.0,     1
1838011388290487, 1809,    4,      23,  2024, 261.0,       3.0,     1
1838010746290487, 1730,    1,      23,  2024, 261.0,       2.0,     1
1838010754290487, 1730,    2,      23,  2024, 261.0,       2.0,     1
1838010804290487,  908,    2,      23,  2024, 261.0,       1.0,     1
1837999664290487,  983,    1,      23,  2024, 261.0,       4.0,     1
1838008045290487,  231,    3,      23,  2024, 261.0,       1.0,     1
1838008055290487,  231,    4,      23,  2024, 261.0,       9.0,     1
1838008030290487,  231,    1,      23,  2024, 261.0,       2.0,     1
1838008038290487,  231,    2,      23,  2024, 261.0,      13.0,     1
1838008909290487,  805,    3,      23,  2024, 261.0,       2.0,     1
1838009104290487, 1500,    2,      23,  2024, 261.0,       1.0,     1
1837986132290487, 1293,    3,      23,  2024, 261.0,       2.0,     1
1838004260290487, 1150,    3,      23,  2024, 261.0,       2.0,     1
1838009368290487, 1772,    1,      23,  2024, 261.0,       1.0,     1
1837984578290487,  543,    1,      23,  2024, 261.0,       1.0,     1
1837972319290487, 1487,    1,      23,  2024, 261.0,       1.0,     1
1838001412290487, 1297,    4,      23,  2024, 261.0,       1.0,     1
1838007990290487,    1,    3,      23,  2024, 261.0,       2.0,     1
1838008295290487, 1219,    2,      23,  2024, 261.0,       1.0,     1
1838008297290487, 1219,    3,      23,  2024, 261.0,       1.0,     1
1837977407290487, 2034,    1,      23,  2024, 261.0,       2.0,     1
