CN,PLOT,SUBP,TREE,STATECD,INVYR,SPCD,DIA,HT,ACTUALHT,STAGE
1837977725290487,169,3,18,23,2024,261.0,2.8,19.0,19.0,2.0
1838011469290487,216,2,6,23,2024,261.0,12.3,51.0,51.0,4.0
1838011470290487,216,2,7,23,2024,261.0,5.6,48.0,34.0,3.0
1838011474290487,216,2,12,23,2024,261.0,12.8,53.0,53.0,5.0
1838011471290487,216,2,9,23,2024,261.0,9.9,46.0,46.0,4.0
1838011473290487,216,2,11,23,2024,261.0,13.8,50.0,50.0,5.0
1838011486290487,216,2,24,23,2024,261.0,1.1,11.0,11.0,1.0
1838011497290487,216,3,19,23,2024,261.0,2.5,16.0,16.0,2.0
1838011499290487,216,3,21,23,2024,261.0,6.0,29.0,29.0,3.0
1838011505290487,216,3,27,23,2024,261.0,1.1,12.0,12.0,1.0
1838012687290487,445,3,7,23,2024,261.0,2.6,24.0,24.0,2.0
1837994647290487,446,1,2,23,2024,261.0,11.5,56.0,56.0,4.0
1837994652290487,446,1,7,23,2024,261.0,7.1,40.0,40.0,3.0
1837994655290487,446,1,10,23,2024,261.0,14.9,45.0,45.0,5.0
1837994657290487,446,1,13,23,2024,261.0,5.9,37.0,37.0,3.0
1837994659290487,446,2,4,23,2024,261.0,2.9,18.0,18.0,2.0
1837994660290487,446,2,5,23,2024,261.0,4.9,31.0,31.0,3.0
1837994663290487,446,2,8,23,2024,261.0,3.2,22.0,22.0,2.0
1837994666290487,446,2,12,23,2024,261.0,7.2,33.0,33.0,3.0
1837994668290487,446,2,16,23,2024,261.0,8.2,40.0,40.0,4.0
1837994669290487,446,2,17,23,2024,261.0,6.2,38.0,38.0,3.0
1837994672290487,446,2,20,23,2024,261.0,5.8,33.0,33.0,3.0
1837994675290487,446,2,23,23,2024,261.0,1.2,11.0,11.0,1.0
1837994681290487,446,3,12,23,2024,261.0,8.3,45.0,45.0,4.0
1837994682290487,446,3,13,23,2024,261.0,6.7,48.0,48.0,3.0
1837994684290487,446,4,11,23,2024,261.0,13.8,66.0,66.0,5.0
1837968639290487,545,1,85,23,2024,261.0,7.3,38.0,38.0,3.0
1837968673290487,545,2,26,23,2024,261.0,2.0,18.0,18.0,1.0
1837968677290487,545,2,31,23,2024,261.0,1.6,20.0,20.0,1.0
1837968682290487,545,2,36,23,2024,261.0,5.8,36.0,36.0,3.0
1837968683290487,545,3,2,23,2024,261.0,8.9,44.0,44.0,4.0
1837968694290487,545,3,16,23,2024,261.0,7.4,38.0,38.0,3.0
1837968718290487,545,4,19,23,2024,261.0,2.2,16.0,16.0,1.0
1837968724290487,545,4,26,23,2024,261.0,1.6,12.0,12.0,1.0
1837968728290487,545,4,30,23,2024,261.0,1.4,11.0,11.0,1.0
1838011102290487,694,1,6,23,2024,261.0,14.3,41.0,33.0,5.0
1838011128290487,694,4,16,23,2024,261.0,12.0,44.0,44.0,4.0
1838011129290487,694,4,17,23,2024,261.0,,,,
1837968989290487,830,1,21,23,2024,261.0,6.7,32.0,32.0,3.0
1837968991290487,830,1,23,23,2024,261.0,7.5,36.0,36.0,3.0
1837968992290487,830,1,24,23,2024,261.0,5.7,24.0,24.0,3.0
1837968994290487,830,2,3,23,2024,261.0,8.0,28.0,28.0,4.0
1837968996290487,830,2,5,23,2024,261.0,,,,
1837982100290487,836,1,8,23,2024,261.0,15.0,64.0,64.0,5.0
1837982099290487,836,1,7,23,2024,261.0,12.6,60.0,60.0,5.0
1837982101290487,836,1,9,23,2024,261.0,17.0,69.0,69.0,5.0
1837982102290487,836,1,10,23,2024,261.0,13.1,66.0,66.0,5.0
1837982103290487,836,1,12,23,2024,261.0,7.8,44.0,44.0,3.0
1837982105290487,836,1,14,23,2024,261.0,1.0,8.0,8.0,1.0
1837982106290487,836,2,2,23,2024,261.0,9.4,62.0,62.0,4.0
1837982108290487,836,2,4,23,2024,261.0,11.5,56.0,56.0,4.0
1837982109290487,836,2,5,23,2024,261.0,15.5,65.0,65.0,5.0
1837982110290487,836,2,6,23,2024,261.0,5.9,42.0,42.0,3.0
1837982111290487,836,2,7,23,2024,261.0,15.4,73.0,73.0,5.0
1837982113290487,836,2,9,23,2024,261.0,6.9,51.0,51.0,3.0
1837982118290487,836,2,14,23,2024,261.0,5.8,51.0,51.0,3.0
1837982117290487,836,2,13,23,2024,261.0,10.9,54.0,54.0,4.0
1837982119290487,836,2,15,23,2024,261.0,9.4,62.0,62.0,4.0
1837982122290487,836,3,2,23,2024,261.0,8.5,43.0,43.0,4.0
