CN              , PLOT, SUBP, STATECD, INVYR, SPCD , TREECOUNT, STAGE
1815813736290487,   89,    3,      33,  2024, 261.0,       1.0,     1
1815815183290487,  251,    1,      33,  2024, 261.0,       1.0,     1
1815817515290487,  328,    1,      33,  2024, 261.0,       9.0,     1
1815817519290487,  328,    2,      33,  2024, 261.0,      12.0,     1
1815817521290487,  328,    3,      33,  2024, 261.0,       8.0,     1
1815817526290487,  328,    4,      33,  2024, 261.0,       1.0,     1
1815811416290487,  489,    1,      33,  2024, 261.0,       1.0,     1
1815811420290487,  489,    3,      33,  2024, 261.0,       1.0,     1
1815811423290487,  489,    4,      33,  2024, 261.0,      11.0,     1
1815812200290487,  587,    4,      33,  2024, 261.0,       1.0,     1
1815812719290487,  619,    2,      33,  2024, 261.0,       1.0,     1
1815814507290487,  736,    1,      33,  2024, 261.0,       2.0,     1
1815814511290487,  736,    2,      33,  2024, 261.0,       1.0,     1
1815812148290487,  745,    3,      33,  2024, 261.0,       1.0,     1
1815817579290487,  768,    1,      33,  2024, 261.0,       3.0,     1
1815817583290487,  768,    3,      33,  2024, 261.0,       5.0,     1
1815815133290487, 1009,    1,      33,  2024, 261.0,       1.0,     1
1815815138290487, 1009,    2,      33,  2024, 261.0,       2.0,     1
1815815143290487, 1009,    3,      33,  2024, 261.0,       1.0,     1
1815815146290487, 1009,    4,      33,  2024, 261.0,       1.0,     1
1815814719290487, 1010,    1,      33,  2024, 261.0,       4.0,     1
1815814723290487, 1010,    2,      33,  2024, 261.0,       1.0,     1
1815814730290487, 1010,    4,      33,  2024, 261.0,       2.0,     1
1815820046290487, 1514,    1,      33,  2024, 261.0,       2.0,     1
1815820051290487, 1514,    3,      33,  2024, 261.0,       3.0,     1
1815820313290487, 1549,    2,      33,  2024, 261.0,       1.0,     1
1815820320290487, 1549,    4,      33,  2024, 261.0,      10.0,     1
1815821562290487, 2504,    1,      33,  2024, 261.0,      15.0,     1
1815821567290487, 2504,    3,      33,  2024, 261.0,      10.0,     1
1815812467290487, 1108,    1,      33,  2024, 261.0,       1.0,     1
1815812475290487, 1108,    3,      33,  2024, 261.0,       5.0,     1
1815812479290487, 1108,    4,      33,  2024, 261.0,       1.0,     1
1815821509290487, 2794,    3,      33,  2024, 261.0,       3.0,     1
1815821513290487, 2794,    4,      33,  2024, 261.0,       2.0,     1
1815813029290487,  105,    1,      33,  2024, 261.0,       2.0,     1
1815813035290487,  105,    3,      33,  2024, 261.0,       2.0,     1
1815813036290487,  105,    4,      33,  2024, 261.0,       1.0,     1
1815816028290487,  363,    1,      33,  2024, 261.0,       1.0,     1
1815816030290487,  363,    2,      33,  2024, 261.0,       1.0,     1
1815816032290487,  363,    3,      33,  2024, 261.0,       5.0,     1
1815816283290487,  981,    4,      33,  2024, 261.0,       4.0,     1
1815819129290487, 1879,    3,      33,  2024, 261.0,       1.0,     1
1815820208290487, 1920,    1,      33,  2024, 261.0,       3.0,     1
1815820450290487, 2928,    2,      33,  2024, 261.0,       3.0,     1
1815817828290487,    5,    1,      33,  2024, 261.0,       4.0,     1
1815817829290487,    5,    2,      33,  2024, 261.0,       2.0,     1
1815817830290487,    5,    3,      33,  2024, 261.0,       3.0,     1
1815817834290487,    5,    4,      33,  2024, 261.0,       1.0,     1
1815814825290487,  426,    1,      33,  2024, 261.0,       1.0,     1
1815814830290487,  426,    2,      33,  2024, 261.0,       8.0,     1
1815814832290487,  426,    4,      33,  2024, 261.0,      14.0,     1
1815817692290487, 1027,    1,      33,  2024, 261.0,       1.0,     1
1815817693290487, 1027,    2,      33,  2024, 261.0,       4.0,     1
1815817698290487, 1027,    4,      33,  2024, 261.0,       8.0,     1
1815812807290487,   64,    3,      33,  2024, 261.0,       1.0,     1
1815812378290487,  335,    2,      33,  2024, 261.0,       1.0,     1
1815812382290487,  335,    3,      33,  2024, 261.0,       5.0,     1
1815812386290487,  335,    4,      33,  2024, 261.0,       1.0,     1
1815812274290487,  546,    3,      33,  2024, 261.0,       1.0,     1
1815812277290487,  546,    4,      33,  2024, 261.0,       2.0,     1
1815811348290487, 1210,    3,      33,  2024, 261.0,      12.0,     1
1815811350290487, 1210,    4,      33,  2024, 261.0,       1.0,     1
1815813670290487,   60,    4,      33,  2024, 261.0,       3.0,     1
1815813537290487,  178,    1,      33,  2024, 261.0,       5.0,     1
1815813541290487,  178,    2,      33,  2024, 261.0,       1.0,     1
1815813546290487,  178,    4,      33,  2024, 261.0,      10.0,     1
1815811996290487,  228,    3,      33,  2024, 261.0,       1.0,     1
1815811559290487,  318,    1,      33,  2024, 261.0,       3.0,     1
1815811567290487,  318,    3,      33,  2024, 261.0,       2.0,     1
1815811967290487,  503,    4,      33,  2024, 261.0,       2.0,     1
1815813278290487,  971,    3,      33,  2024, 261.0,       1.0,     1
1815811529290487,  107,    3,      33,  2024, 261.0,       1.0,     1
1815818651290487,   82,    2,      33,  2024, 261.0,       1.0,     1
1815813500290487,  156,    1,      33,  2024, 261.0,       1.0,     1
1815815464290487,  302,    3,      33,  2024, 261.0,       1.0,     1
1815814957290487,  386,    1,      33,  2024, 261.0,      11.0,     1
1815814962290487,  386,    2,      33,  2024, 261.0,       1.0,     1
1815813446290487,  733,    2,      33,  2024, 261.0,       3.0,     1
1815813779290487, 1430,    2,      33,  2024, 261.0,       1.0,     1
1815818253290487, 1023,    1,      33,  2024, 261.0,       4.0,     1
1815818303290487, 1208,    3,      33,  2024, 261.0,       2.0,     1
1815817634290487,  754,    3,      33,  2024, 261.0,       2.0,     1
