CN,PLOT,SUBP,TREE,STATECD,INVYR,SPCD,DIA,HT,ACTUALHT,STAGE
1815813754290487,89,1,52,33,2024,261.0,3.5,30.0,30.0,2.0
1815813758290487,89,1,56,33,2024,261.0,2.6,21.0,21.0,2.0
1815813755290487,89,1,53,33,2024,261.0,3.7,20.0,20.0,2.0
1815813756290487,89,1,54,33,2024,261.0,2.7,21.0,21.0,2.0
1815813757290487,89,1,55,33,2024,261.0,4.9,26.0,26.0,3.0
1815813759290487,89,1,58,33,2024,261.0,1.8,15.0,15.0,1.0
1815813761290487,89,1,60,33,2024,261.0,5.0,29.0,29.0,3.0
1815813762290487,89,1,61,33,2024,261.0,5.9,33.0,33.0,3.0
1815813763290487,89,1,62,33,2024,261.0,7.5,32.0,32.0,3.0
1815813765290487,89,1,64,33,2024,261.0,8.1,25.0,25.0,4.0
1815813768290487,89,3,19,33,2024,261.0,7.2,34.0,34.0,3.0
1815813772290487,89,3,23,33,2024,261.0,5.4,29.0,29.0,3.0
1815815210290487,251,2,8,33,2024,261.0,10.7,37.0,37.0,4.0
1815817534290487,328,1,11,33,2024,261.0,,,,
1815817535290487,328,1,18,33,2024,261.0,8.7,51.0,51.0,4.0
1815817537290487,328,1,47,33,2024,261.0,7.3,36.0,36.0,3.0
1815817540290487,328,2,4,33,2024,261.0,15.5,73.0,73.0,5.0
1815817541290487,328,2,5,33,2024,261.0,10.8,45.0,45.0,4.0
1815817542290487,328,2,8,33,2024,261.0,11.8,62.0,62.0,4.0
1815817543290487,328,2,10,33,2024,261.0,5.9,39.0,39.0,3.0
1815817545290487,328,2,12,33,2024,261.0,17.5,75.0,75.0,5.0
1815817551290487,328,2,18,33,2024,261.0,11.1,40.0,21.0,4.0
1815817552290487,328,2,19,33,2024,261.0,13.3,58.0,58.0,5.0
1815817553290487,328,2,21,33,2024,261.0,9.9,45.0,45.0,4.0
1815817554290487,328,2,22,33,2024,261.0,5.4,40.0,17.0,3.0
