CN              , PLOT, SUBP, STATECD, INVYR, SPCD , TREECOUNT, STAGE
1831501632290487, 4704,    1,      36,  2024, 261.0,       1.0,     1
1831489765290487, 4257,    2,      36,  2024, 261.0,       1.0,     1
1831489946290487,  301,    1,      36,  2024, 261.0,      11.0,     1
1831489948290487,  301,    2,      36,  2024, 261.0,       1.0,     1
1831481877290487,  248,    1,      36,  2024, 261.0,       2.0,     1
1831481885290487,  248,    4,      36,  2024, 261.0,       3.0,     1
1831487770290487, 6735,    1,      36,  2024, 261.0,       1.0,     1
1831487776290487, 6735,    3,      36,  2024, 261.0,       2.0,     1
1831479521290487, 3585,    4,      36,  2024, 261.0,       1.0,     1
1831492266290487, 3757,    2,      36,  2024, 261.0,       1.0,     1
1831492269290487, 3757,    4,      36,  2024, 261.0,       2.0,     1
1831494521290487, 2462,    1,      36,  2024, 261.0,       4.0,     1
1831484405290487, 5555,    3,      36,  2024, 261.0,       4.0,     1
1831503389290487, 2967,    4,      36,  2024, 261.0,       2.0,     1
1831488019290487,  998,    1,      36,  2024, 261.0,       2.0,     1
1831488024290487,  998,    4,      36,  2024, 261.0,       1.0,     1
1831483561290487, 5469,    4,      36,  2024, 261.0,       1.0,     1
1831504760290487, 8216,    2,      36,  2024, 261.0,       1.0,     1
1831487019290487, 5051,    2,      36,  2024, 261.0,       2.0,     1
1831487022290487, 5051,    3,      36,  2024, 261.0,       1.0,     1
1831499672290487, 2437,    2,      36,  2024, 261.0,       1.0,     1
1831499677290487, 2437,    3,      36,  2024, 261.0,       1.0,     1
1831499800290487, 3967,    3,      36,  2024, 261.0,       1.0,     1
1831486964290487, 6463,    4,      36,  2024, 261.0,       1.0,     1
1831495961290487, 1255,    1,      36,  2024, 261.0,       2.0,     1
1831495964290487, 1255,    2,      36,  2024, 261.0,       1.0,     1
1831501517290487, 3076,    1,      36,  2024, 261.0,       3.0,     1
1831501524290487, 3076,    4,      36,  2024, 261.0,       1.0,     1
1831497258290487, 1574,    1,      36,  2024, 261.0,       1.0,     1
1831500028290487, 3589,    2,      36,  2024, 261.0,       1.0,     1
1831493401290487, 4236,    2,      36,  2024, 261.0,       2.0,     1
1831489663290487, 5493,    1,      36,  2024, 261.0,       3.0,     1
1831489666290487, 5493,    2,      36,  2024, 261.0,       1.0,     1
1831493618290487, 5386,    2,      36,  2024, 261.0,       3.0,     1
1831488124290487, 3462,    3,      36,  2024, 261.0,       6.0,     1
1831487617290487, 6154,    4,      36,  2024, 261.0,       1.0,     1
1831497873290487, 2890,    4,      36,  2024, 261.0,       1.0,     1
1831500465290487, 5213,    1,      36,  2024, 261.0,       1.0,     1
1831494527290487, 2462,    2,      36,  2024, 261.0,       4.0,     1
1831494531290487, 2462,    4,      36,  2024, 261.0,       1.0,     1
1831502054290487,  510,    3,      36,  2024, 261.0,       1.0,     1
1831499943290487, 5214,    1,      36,  2024, 261.0,       1.0,     1
1831499944290487, 5214,    2,      36,  2024, 261.0,       3.0,     1
1831499945290487, 5214,    3,      36,  2024, 261.0,       2.0,     1
