CN,PLOT,SUBP,TREE,STATECD,INVYR,SPCD,DIA,HT,ACTUALHT,TREECOUNT,STAGE
1813833532290487,198,2,2,44,2024,261.0,,,,1.0,
1813833533290487,198,2,3,44,2024,261.0,,,,1.0,
1813833536290487,198,2,6,44,2024,261.0,,,,1.0,
1813833310290487,273,1,4,44,2024,261.0,2.5,20.0,20.0,1.0,2.0
1813833311290487,273,1,5,44,2024,261.0,8.4,34.0,34.0,1.0,4.0
1813833312290487,273,1,6,44,2024,261.0,8.3,40.0,40.0,1.0,4.0
1813833314290487,273,1,8,44,2024,261.0,6.7,40.0,40.0,1.0,3.0
1813833315290487,273,1,9,44,2024,261.0,6.6,39.0,39.0,1.0,3.0
1813833317290487,273,2,1,44,2024,261.0,2.1,9.0,9.0,1.0,2.0
1813833318290487,273,2,2,44,2024,261.0,7.4,35.0,35.0,1.0,4.0
1813833319290487,273,2,3,44,2024,261.0,6.3,38.0,38.0,1.0,3.0
1813833321290487,273,2,5,44,2024,261.0,7.2,38.0,38.0,1.0,4.0
1813833322290487,273,2,6,44,2024,261.0,8.4,40.0,40.0,1.0,4.0
1813833323290487,273,2,7,44,2024,261.0,6.2,31.0,31.0,1.0,3.0
1813833325290487,273,2,9,44,2024,261.0,7.4,36.0,36.0,1.0,4.0
1813833327290487,273,2,12,44,2024,261.0,10.8,42.0,37.0,1.0,4.0
1813833328290487,273,2,13,44,2024,261.0,8.0,34.0,34.0,1.0,4.0
1813833330290487,273,2,15,44,2024,261.0,1.3,8.0,8.0,1.0,1.0
1813833331290487,273,2,16,44,2024,261.0,8.6,40.0,40.0,1.0,4.0
1813833332290487,273,2,17,44,2024,261.0,7.8,37.0,37.0,1.0,4.0
1813833333290487,273,2,18,44,2024,261.0,8.1,36.0,36.0,1.0,4.0
1813833334290487,273,2,19,44,2024,261.0,6.2,32.0,32.0,1.0,3.0
1813833335290487,273,2,20,44,2024,261.0,5.5,28.0,28.0,1.0,3.0
1813833336290487,273,2,21,44,2024,261.0,5.5,30.0,30.0,1.0,3.0
1813833338290487,273,3,1,44,2024,261.0,8.0,40.0,40.0,1.0,4.0
1813833340290487,273,3,4,44,2024,261.0,7.1,40.0,40.0,1.0,4.0
1813833343290487,273,3,7,44,2024,261.0,6.0,32.0,32.0,1.0,3.0
1813833344290487,273,3,8,44,2024,261.0,6.2,29.0,29.0,1.0,3.0
1813833352290487,273,4,9,44,2024,261.0,5.9,27.0,27.0,1.0,3.0
