CN              , PLOT, SUBP, STATECD, INVYR, SPCD , TREECOUNT, STAGE
1817551177290487,   81,    1,      50,  2024, 261.0,       1.0,     1
1817551180290487,   81,    2,      50,  2024, 261.0,       3.0,     1
1817551183290487,   81,    4,      50,  2024, 261.0,      30.0,     1
1817549799290487,  859,    1,      50,  2024, 261.0,      10.0,     1
1817549801290487,  859,    3,      50,  2024, 261.0,       5.0,     1
1817551694290487,  947,    2,      50,  2024, 261.0,       1.0,     1
1817554415290487,  148,    4,      50,  2024, 261.0,       1.0,     1
1817554457290487,  826,    4,      50,  2024, 261.0,       1.0,     1
1817551517290487, 1208,    1,      50,  2024, 261.0,       2.0,     1
1817551521290487, 1208,    2,      50,  2024, 261.0,       2.0,     1
1817549441290487, 1266,    4,      50,  2024, 261.0,       2.0,     1
1817556292290487,  234,    3,      50,  2024, 261.0,       1.0,     1
1817556295290487,  234,    4,      50,  2024, 261.0,       3.0,     1
1817555396290487,  611,    2,      50,  2024, 261.0,       1.0,     1
1817555403290487,  611,    4,      50,  2024, 261.0,       1.0,     1
1817554195290487,  926,    1,      50,  2024, 261.0,       4.0,     1
1817554199290487,  926,    2,      50,  2024, 261.0,       9.0,     1
1817554202290487,  926,    3,      50,  2024, 261.0,       3.0,     1
1817554206290487,  926,    4,      50,  2024, 261.0,       5.0,     1
1817554099290487, 1147,    1,      50,  2024, 261.0,       7.0,     1
1817554101290487, 1147,    3,      50,  2024, 261.0,       2.0,     1
1817554661290487, 1186,    4,      50,  2024, 261.0,       1.0,     1
1817553519290487,  888,    2,      50,  2024, 261.0,       6.0,     1
1817553522290487,  888,    3,      50,  2024, 261.0,       1.0,     1
1817555142290487, 1404,    1,      50,  2024, 261.0,       3.0,     1
