CN,PLOT,SUBP,TREE,STATECD,INVYR,SPCD,DIA,HT,ACTUALHT,STAGE
1817551190290487,81,1,39,50,2024,261.0,9.5,42.0,42.0,4.0
1817551191290487,81,2,1,50,2024,261.0,11.8,64.0,64.0,4.0
1817551192290487,81,2,3,50,2024,261.0,5.5,35.0,35.0,3.0
1817551193290487,81,2,11,50,2024,261.0,9.0,51.0,51.0,4.0
1817551195290487,81,2,13,50,2024,261.0,5.2,33.0,33.0,3.0
1817551196290487,81,2,14,50,2024,261.0,7.2,49.0,49.0,3.0
1817551199290487,81,3,3,50,2024,261.0,8.6,50.0,50.0,4.0
1817551200290487,81,3,4,50,2024,261.0,9.4,53.0,53.0,4.0
1817551203290487,81,3,7,50,2024,261.0,9.3,54.0,54.0,4.0
1817551204290487,81,3,9,50,2024,261.0,9.4,68.0,68.0,4.0
1817551206290487,81,3,13,50,2024,261.0,7.3,55.0,55.0,3.0
1817551207290487,81,3,15,50,2024,261.0,12.8,68.0,68.0,5.0
1817551208290487,81,3,16,50,2024,261.0,,,,
1817551209290487,81,3,18,50,2024,261.0,9.2,65.0,65.0,4.0
1817551210290487,81,3,20,50,2024,261.0,12.1,71.0,71.0,4.0
1817551211290487,81,3,21,50,2024,261.0,10.8,67.0,67.0,4.0
1817551212290487,81,3,22,50,2024,261.0,12.1,78.0,78.0,4.0
1817551213290487,81,3,23,50,2024,261.0,10.2,65.0,65.0,4.0
1817551214290487,81,3,24,50,2024,261.0,17.5,80.0,80.0,5.0
1817551215290487,81,3,25,50,2024,261.0,7.7,52.0,52.0,3.0
1817551216290487,81,3,27,50,2024,261.0,5.4,44.0,44.0,3.0
1817551218290487,81,3,30,50,2024,261.0,5.1,36.0,36.0,3.0
1817551220290487,81,4,4,50,2024,261.0,14.2,55.0,55.0,5.0
1817551223290487,81,4,12,50,2024,261.0,6.9,31.0,31.0,3.0
1817554303290487,370,1,8,50,2024,261.0,10.1,41.0,41.0,4.0
1817554307290487,370,1,12,50,2024,261.0,8.2,53.0,53.0,4.0
1817554318290487,370,1,23,50,2024,261.0,4.9,26.0,26.0,3.0
1817554325290487,370,2,7,50,2024,261.0,,,,
1817554331290487,370,3,7,50,2024,261.0,15.0,70.0,70.0,5.0
1817554332290487,370,3,8,50,2024,261.0,8.8,47.0,47.0,4.0
1817554333290487,370,3,9,50,2024,261.0,13.1,68.0,68.0,5.0
1817549371290487,805,4,3,50,2024,261.0,7.4,35.0,18.0,3.0
1817549375290487,805,4,8,50,2024,261.0,12.6,40.0,40.0,5.0
1817549697290487,45,1,1,50,2024,261.0,9.8,40.0,40.0,4.0
1817549700290487,45,1,4,50,2024,261.0,10.4,51.0,51.0,4.0
1817549701290487,45,1,5,50,2024,261.0,13.1,60.0,43.0,5.0
1817549702290487,45,1,6,50,2024,261.0,,,,
1817549703290487,45,1,7,50,2024,261.0,6.1,32.0,32.0,3.0
1817549704290487,45,1,8,50,2024,261.0,5.0,29.0,29.0,3.0
1817549705290487,45,2,1,50,2024,261.0,2.9,16.0,16.0,2.0
1817549706290487,45,2,2,50,2024,261.0,,,,
1817549708290487,45,2,5,50,2024,261.0,7.1,31.0,31.0,3.0
1817549716290487,45,2,13,50,2024,261.0,5.4,22.0,22.0,3.0
1817549718290487,45,3,3,50,2024,261.0,5.5,31.0,8.0,3.0
1817549731290487,45,4,2,50,2024,261.0,14.5,71.0,71.0,5.0
1817549732290487,45,4,3,50,2024,261.0,21.0,73.0,73.0,6.0
1817549734290487,45,4,5,50,2024,261.0,6.0,40.0,40.0,3.0
1817549735290487,45,4,6,50,2024,261.0,5.6,30.0,30.0,3.0
1817549737290487,45,4,8,50,2024,261.0,12.5,45.0,45.0,5.0
1817549741290487,45,4,13,50,2024,261.0,5.0,23.0,23.0,3.0
1817549807290487,859,1,4,50,2024,261.0,21.8,87.0,87.0,6.0
1817549808290487,859,1,7,50,2024,261.0,15.4,77.0,77.0,5.0
1817549809290487,859,1,9,50,2024,261.0,11.2,80.0,80.0,4.0
1817549810290487,859,1,11,50,2024,261.0,13.6,72.0,72.0,5.0
1817549811290487,859,1,13,50,2024,261.0,12.6,71.0,71.0,5.0
1817549812290487,859,1,14,50,2024,261.0,,,,
1817549813290487,859,1,15,50,2024,261.0,10.6,45.0,45.0,4.0
1817549814290487,859,1,16,50,2024,261.0,22.2,90.0,90.0,6.0
1817549815290487,859,1,38,50,2024,261.0,5.3,32.0,32.0,3.0
1817549817290487,859,2,1,50,2024,261.0,7.3,33.0,23.0,3.0
1817549819290487,859,2,6,50,2024,261.0,9.3,55.0,55.0,4.0
1817549821290487,859,2,8,50,2024,261.0,15.9,82.0,82.0,5.0
1817549822290487,859,2,9,50,2024,261.0,7.1,53.0,53.0,3.0
1817549823290487,859,2,10,50,2024,261.0,6.8,39.0,34.0,3.0
1817549824290487,859,2,11,50,2024,261.0,8.7,61.0,61.0,4.0
1817549825290487,859,2,12,50,2024,261.0,7.1,38.0,38.0,3.0
1817549827290487,859,2,14,50,2024,261.0,7.0,45.0,45.0,3.0
1817549828290487,859,2,15,50,2024,261.0,5.1,42.0,42.0,3.0
1817549829290487,859,3,1,50,2024,261.0,7.7,45.0,45.0,3.0
1817549830290487,859,3,2,50,2024,261.0,20.5,84.0,84.0,6.0
1817549831290487,859,3,3,50,2024,261.0,12.9,53.0,53.0,5.0
1817549832290487,859,3,4,50,2024,261.0,10.8,59.0,59.0,4.0
1817549833290487,859,3,5,50,2024,261.0,9.2,55.0,55.0,4.0
1817549834290487,859,3,6,50,2024,261.0,12.8,56.0,56.0,5.0
1817549835290487,859,3,7,50,2024,261.0,7.3,58.0,58.0,3.0
1817549836290487,859,4,1,50,2024,261.0,17.7,84.0,84.0,5.0
1817549837290487,859,4,2,50,2024,261.0,15.8,84.0,84.0,5.0
1817549838290487,859,4,4,50,2024,261.0,10.3,49.0,49.0,4.0
1817549839290487,859,4,5,50,2024,261.0,7.2,46.0,46.0,3.0
1817549840290487,859,4,6,50,2024,261.0,13.0,53.0,53.0,5.0
1817549842290487,859,4,8,50,2024,261.0,10.7,57.0,57.0,4.0
1817549845290487,859,4,11,50,2024,261.0,5.5,44.0,44.0,3.0
1817549846290487,859,4,14,50,2024,261.0,9.6,60.0,60.0,4.0
1817549847290487,859,4,15,50,2024,261.0,10.9,43.0,43.0,4.0
1817549848290487,859,4,16,50,2024,261.0,6.3,35.0,32.0,3.0
1817549849290487,859,4,18,50,2024,261.0,11.7,46.0,46.0,4.0
1817551929290487,971,2,16,50,2024,261.0,8.5,35.0,35.0,4.0
1817551930290487,971,2,17,50,2024,261.0,5.5,28.0,28.0,3.0
1817552543290487,1135,1,3,50,2024,261.0,,,,
1817552544290487,1135,1,4,50,2024,261.0,,,,
1817552545290487,1135,1,7,50,2024,261.0,,,,
1817552547290487,1135,1,9,50,2024,261.0,,,,
1817552548290487,1135,1,10,50,2024,261.0,,,,
1817552549290487,1135,1,11,50,2024,261.0,,,,
1817552550290487,1135,1,12,50,2024,261.0,,,,
1817552551290487,1135,3,1,50,2024,261.0,12.1,56.0,56.0,4.0
1817552552290487,1135,3,2,50,2024,261.0,16.0,71.0,71.0,5.0
1817552553290487,1135,3,3,50,2024,261.0,16.2,70.0,70.0,5.0
1817552554290487,1135,3,4,50,2024,261.0,7.0,40.0,40.0,3.0
1817552555290487,1135,3,6,50,2024,261.0,12.7,71.0,71.0,5.0
1817552556290487,1135,3,7,50,2024,261.0,16.2,75.0,58.0,5.0
1817552557290487,1135,3,8,50,2024,261.0,,,,
1817552558290487,1135,3,9,50,2024,261.0,11.0,72.0,72.0,4.0
1817552559290487,1135,3,10,50,2024,261.0,13.4,67.0,30.0,5.0
1817552560290487,1135,3,12,50,2024,261.0,,,,
1817552561290487,1135,3,13,50,2024,261.0,13.2,70.0,70.0,5.0
1817552562290487,1135,3,14,50,2024,261.0,9.3,66.0,66.0,4.0
1817552563290487,1135,3,15,50,2024,261.0,,,,
1817552564290487,1135,3,16,50,2024,261.0,,,,
1817551869290487,1456,2,18,50,2024,261.0,1.4,10.0,10.0,1.0
1817551874290487,1456,2,23,50,2024,261.0,5.4,25.0,16.0,3.0
1817551714290487,947,2,3,50,2024,261.0,14.5,66.0,66.0,5.0
1817551715290487,947,2,4,50,2024,261.0,14.0,66.0,66.0,5.0
1817551719290487,947,2,8,50,2024,261.0,11.6,58.0,58.0,4.0
1817551722290487,947,2,11,50,2024,261.0,9.0,45.0,45.0,4.0
1817551724290487,947,2,13,50,2024,261.0,8.0,44.0,44.0,4.0
1817551746290487,947,4,2,50,2024,261.0,14.4,80.0,80.0,5.0
1817551749290487,947,4,6,50,2024,261.0,11.5,48.0,48.0,4.0
1817551756290487,947,4,14,50,2024,261.0,5.4,23.0,23.0,3.0
1817548845290487,260,2,2,50,2024,261.0,18.9,66.0,66.0,5.0
1817548846290487,260,2,3,50,2024,261.0,22.8,64.0,64.0,6.0
1817548856290487,260,4,1,50,2024,261.0,22.2,80.0,80.0,6.0
1817548858290487,260,4,3,50,2024,261.0,12.1,69.0,69.0,4.0
1817554466290487,826,1,2,50,2024,261.0,14.0,65.0,65.0,5.0
1817554468290487,826,1,4,50,2024,261.0,14.6,57.0,57.0,5.0
1817554476290487,826,1,13,50,2024,261.0,6.4,31.0,31.0,3.0
1817554482290487,826,3,1,50,2024,261.0,14.2,60.0,60.0,5.0
1817554492290487,826,4,5,50,2024,261.0,9.5,54.0,54.0,4.0
1817554490290487,826,4,3,50,2024,261.0,7.5,30.0,30.0,3.0
1817554491290487,826,4,4,50,2024,261.0,9.8,53.0,53.0,4.0
1817552589290487,906,1,24,50,2024,261.0,8.4,42.0,42.0,4.0
1817552590290487,906,1,31,50,2024,261.0,5.3,31.0,31.0,3.0
1817552601290487,906,3,1,50,2024,261.0,15.4,66.0,66.0,5.0
1817552602290487,906,3,4,50,2024,261.0,16.5,74.0,74.0,5.0
1817552604290487,906,3,7,50,2024,261.0,11.4,52.0,52.0,4.0
1817552605290487,906,3,8,50,2024,261.0,19.1,72.0,72.0,5.0
1817552606290487,906,3,9,50,2024,261.0,6.0,30.0,30.0,3.0
1817552607290487,906,3,10,50,2024,261.0,8.9,40.0,40.0,4.0
